;;min;max;0.3
1;pc_MaxAssimilationRate;36.4;67.6;52
12;pc_MinimumAvailableN;0.000525;0.000975;0.00075
14;pc_CanopyReflectionCoefficient;0.056;0.104;0.08
21;pc_MaintenanceRespirationParameter1;0.07;0.09;0.08
22;pc_MaintenanceRespirationParameter2;43;45;44
23;pc_GrowthRespirationParameter1;0.09;0.11;0.1
24;pc_GrowthRespirationParameter2;37;39;38
26;pc_MinimumNConcentration;0.0035;0.0065;0.005
27;pc_NConcentrationB0;1.4;2.6;2
28;pc_NConcentrationPN;1.12;2.08;1.6
$60_1$ ;pc_StageTemperatureSum1;103.6;192.4;148
$60_2$ ;pc_StageTemperatureSum2;198.8;369.2;284
$60_3$ ;pc_StageTemperatureSum3;266;494;380
$60_4$ ;pc_StageTemperatureSum4;140;260;200
$60_5$ ;pc_StageTemperatureSum5;294;546;420
$61_1$;pc_StageKcFactor1;0.28;0.52;0.4
$61_2$;pc_StageKcFactor2;0.49;0.91;0.7
$61_3$;pc_StageKcFactor3;0.77;1.43;1.1
$61_4$;pc_StageKcFactor4;0.77;1.43;1.1
$63_2$;pc_VernalisationRequirement2;35;65;50
$64_2$;pc_DaylengthRequirement2;14;26;20
$64_3$;pc_DaylengthRequirement3;14;26;20
$64_4$;pc_DaylengthRequirement4;14;26;20
$65_1$;pc_SpecificLeafArea1;0.0014;0.0026;0.002
$65_2$;pc_SpecificLeafArea2;0.00126;0.00234;0.0018
$65_3$;pc_SpecificLeafArea3;0.00119;0.00221;0.0017
$65_4$;pc_SpecificLeafArea4;0.00112;0.00208;0.0016
